"","Longitude","Latitude"
"298",-74.96391,40.117653
"299",-74.963857,40.117557
"300",-74.963129,40.114978
"301",-74.963714,40.109458
"302",-74.965359,40.108024
"303",-74.961156,40.103446
"304",-74.96163,40.097804
"305",-74.958749,40.096929
"306",-74.958623,40.096872
"307",-74.956164,40.095745
"308",-74.956299,40.093422
"309",-74.958036,40.089665
"310",-74.958156,40.08425
"311",-74.960411,40.080967
"312",-74.962267,40.078709
"313",-74.962465,40.078075
"314",-74.963459,40.077411
"315",-74.964409,40.077207
"316",-74.964883,40.077273
"317",-74.970537,40.076281
"318",-74.971268,40.073744
"319",-74.97307,40.07165
"320",-74.973251,40.071487
"321",-74.973888,40.071175
"322",-74.980296,40.066147
"323",-74.980688,40.065007
"324",-74.980718,40.06472
"325",-74.980378,40.060349
"326",-74.984129,40.057837
"327",-74.984302,40.05585
"328",-74.98419,40.055349
"329",-74.983904,40.054994
"330",-74.983487,40.054448
"331",-74.982202,40.053804
"332",-74.980028,40.053637
"333",-74.97432,40.048899
"334",-74.974713,40.048711
"335",-74.978231,40.046417
"336",-74.982322,40.043749
"337",-74.983913,40.042711
"338",-74.987321,40.039644
"339",-74.989914,40.037311
"340",-75.003083,40.026922
"341",-75.007914,40.023111
"342",-75.011115,40.021311
"343",-75.013803,40.020211
"344",-75.015515,40.019511
"345",-75.03038,40.015452
"346",-75.035017,40.014186
"347",-75.038255,40.013302
"348",-75.039316,40.013012
"349",-75.04096,40.012137
"350",-75.042831,40.011141
"351",-75.046681,40.009091
"352",-75.047016,40.008912
"353",-75.051217,40.004512
"354",-75.052156,40.003067
"355",-75.052482,40.002566
"356",-75.059017,39.992512
"357",-75.059543,39.992031
"358",-75.064759,39.987256
"359",-75.065815,39.98629
"360",-75.068586,39.983753
"361",-75.069473,39.98294
"362",-75.072017,39.980612
"363",-75.083047,39.977024
"364",-75.088618,39.975212
"365",-75.091526,39.974756
"366",-75.092481,39.974606
"367",-75.093718,39.974412
"368",-75.093719,39.974412
"369",-75.0973,39.973392
"370",-75.102858,39.97181
"371",-75.107541,39.970477
"372",-75.108119,39.970312
"373",-75.112771,39.968259
"374",-75.118955,39.965529
"375",-75.11922,39.965412
"376",-75.125416,39.961952
"377",-75.12692,39.961112
"378",-75.1295,39.959177
"379",-75.13012,39.958712
"380",-75.130217,39.958589
"381",-75.13352,39.954412
"382",-75.135127,39.94908
"383",-75.13572,39.947112
"384",-75.135836,39.943269
"385",-75.13593,39.940197
"386",-75.13612,39.933912
"387",-75.136107,39.933834
"388",-75.135888,39.932518
"389",-75.135346,39.929269
"390",-75.13502,39.927312
"391",-75.134434,39.925794
"392",-75.132931,39.921901
"393",-75.13282,39.921612
"394",-75.13012,39.917013
"395",-75.129179,39.914789
"396",-75.12792,39.911813
"397",-75.129577,39.905183
"398",-75.13082,39.900213
"399",-75.13342,39.896213
"400",-75.135985,39.893196
"401",-75.140221,39.888213
"402",-75.142421,39.886413
"403",-75.145421,39.884213
"404",-75.150721,39.882713
"405",-75.174535,39.882197
"406",-75.183023,39.882013
"407",-75.187103,39.881171
